;Name;Set;Types;Cost;Text;Actions / Villagers;Cards;Buys;Coins / Coffers;Trash / Return;Exile;Junk;Gain;Victory Points;IsCSO;IsOtherThing;IsInSupply;ImagePath
0;Cellar;Base;['Action'];$2;+1 ActionDiscard any number of cards, then draw that many.;+1;-X,+X;;;;;;;;False;False;True;card_pictures/Base/Cellar.jpg
1;Chapel;Base;['Action'];$2;Trash up to 4 cards from your hand.;;;;;0-4;;;;;False;False;True;card_pictures/Base/Chapel.jpg
2;Moat;Base;['Action', 'Reaction'];$2;+2 CardsWhen another player plays an Attack card, you may first reveal this from your hand, to be unaffected by it.;;+2;;;;;;;;False;False;True;card_pictures/Base/Moat.jpg
3;Chancellor;Base, 1E;['Action'];$3;+$2You may immediately put your deck into your discard pile.;;;;+$2;;;;;;False;False;True;card_pictures/Base_1E/Chancellor.jpg
4;Harbinger;Base, 2E;['Action'];$3;+1 Card+1 ActionLook through your discard pile. You may put a card from it onto your deck.;+1;+1;;;;;;;;False;False;True;card_pictures/Base_2E/Harbinger.jpg
5;Merchant;Base, 2E;['Action'];$3;+1 Card+1 ActionThe first time you play a Silver this turn, +$1.;+1;+1;;+$1?;;;;;;False;False;True;card_pictures/Base_2E/Merchant.jpg
6;Vassal;Base, 2E;['Action'];$3;+$2Discard the top card of your deck. If it's an Action card, you may play it.;;;;+$2;;;;;;False;False;True;card_pictures/Base_2E/Vassal.jpg
7;Village;Base;['Action'];$3;+1 Card+2 Actions;+2;+1;;;;;;;;False;False;True;card_pictures/Base/Village.jpg
8;Woodcutter;Base, 1E;['Action'];$3;+1 Buy+$2;;;+1;+$2;;;;;;False;False;True;card_pictures/Base_1E/Woodcutter.jpg
9;Workshop;Base;['Action'];$3;Gain a card costing up to $4.;;;;;;;;1;;False;False;True;card_pictures/Base/Workshop.jpg
10;Bureaucrat;Base;['Action', 'Attack'];$4;Gain a Silver onto your deck. Each other player reveals a Victory card from their hand and puts it onto their deck (or reveals a hand with no Victory cards).;;;;;;;;1;;False;False;True;card_pictures/Base/Bureaucrat.jpg
11;Feast;Base, 1E;['Action'];$4;Trash this card. Gain a card costing up to $5.;;;;;Self;;;1;;False;False;True;card_pictures/Base_1E/Feast.jpg
12;Gardens;Base;['Victory'];$4;Worth 1VP per 10 cards you have (round down).;;;;;;;;;XVP;False;False;True;card_pictures/Base/Gardens.jpg
13;Militia;Base;['Action', 'Attack'];$4;+$2Each other player discards down to 3 cards in hand.;;;;+$2;;;;;;False;False;True;card_pictures/Base/Militia.jpg
14;Moneylender;Base;['Action'];$4;You may trash a Copper from your hand for +$3.;;;;+$3?;1?;;;;;False;False;True;card_pictures/Base/Moneylender.jpg
15;Poacher;Base, 2E;['Action'];$4;+1 Card+1 Action+$1Discard a card per empty Supply pile.;+1;+1,-X;;+$1;;;;;;False;False;True;card_pictures/Base_2E/Poacher.jpg
16;Remodel;Base;['Action'];$4;Trash a card from your hand. Gain a card costing up to $2 more than it.;;;;;1;;;1;;False;False;True;card_pictures/Base/Remodel.jpg
17;Smithy;Base;['Action'];$4;+3 Cards;;+3;;;;;;;;False;False;True;card_pictures/Base/Smithy.jpg
18;Spy;Base, 1E;['Action', 'Attack'];$4;+1 Card+1 ActionEach player (including you) reveals the top card of his deck and either discards it or puts it back, your choice.;+1;+1;;;;;;;;False;False;True;card_pictures/Base_1E/Spy.jpg
19;Thief;Base, 1E;['Action', 'Attack'];$4;Each other player reveals the top 2 cards of his deck.If they revealed any Treasure cards, they trash one of them that you choose. You may gain any or all of these trashed cards. They discard the other revealed cards.;;;;;;;;X;;False;False;True;card_pictures/Base_1E/Thief.jpg
20;Throne Room;Base;['Action'];$4;You may play an Action card from your hand twice.;P2;;;;;;;;;False;False;True;card_pictures/Base/Throne_Room.jpg
21;Bandit;Base, 2E;['Action', 'Attack'];$5;Gain a Gold. Each other player reveals the top 2 cards of their deck, trashes a revealed Treasure other than Copper, and discards the rest.;;;;;;;;1;;False;False;True;card_pictures/Base_2E/Bandit.jpg
22;Council Room;Base;['Action'];$5;+4 Cards+1 BuyEach other player draws a card.;;+4;+1;;;;;;;False;False;True;card_pictures/Base/Council_Room.jpg
23;Festival;Base;['Action'];$5;+2 Actions+1 Buy+$2;+2;;+1;+$2;;;;;;False;False;True;card_pictures/Base/Festival.jpg
24;Laboratory;Base;['Action'];$5;+2 Cards+1 Action;+1;+2;;;;;;;;False;False;True;card_pictures/Base/Laboratory.jpg
25;Library;Base;['Action'];$5;"Draw until you have 7 cards in hand, skipping any Action cards you choose to; set those aside, discarding them afterwards.";;+X?;;;;;;;;False;False;True;card_pictures/Base/Library.jpg
26;Market;Base;['Action'];$5;+1 Card+1 Action+1 Buy+$1;+1;+1;+1;+$1;;;;;;False;False;True;card_pictures/Base/Market.jpg
27;Mine;Base;['Action'];$5;You may trash a Treasure card from your hand. Gain a Treasure card to your hand costing up to $3 more than it.;;;;;1?;;;1;;False;False;True;card_pictures/Base/Mine.jpg
28;Sentry;Base, 2E;['Action'];$5;+1 Card+1 ActionLook at the top 2 cards of your deck. Trash and/or discard any number of them. Put the rest back on top in any order.;+1;+1;;;0-2;;;;;False;False;True;card_pictures/Base_2E/Sentry.jpg
29;Witch;Base;['Action', 'Attack'];$5;+2 CardsEach other player gains a Curse.;;+2;;;;;1;;;False;False;True;card_pictures/Base/Witch.jpg
30;Adventurer;Base, 1E;['Action'];$6;Reveal cards from your deck until you reveal 2 Treasure cards. Put those Treasure cards into your hand and discard the other revealed cards.;;+2;;;;;;;;False;False;True;card_pictures/Base_1E/Adventurer.jpg
31;Artisan;Base, 2E;['Action'];$6;Gain a card to your hand costing up to $5.Put a card from your hand onto your deck.;;;;;;;;1;;False;False;True;card_pictures/Base_2E/Artisan.jpg
32;Copper;Base;['Treasure'];$0;$1;;;;+$1;;;;;;False;False;False;card_pictures/Base/Copper.jpg
33;Silver;Base;['Treasure'];$3;$2;;;;+$2;;;;;;False;False;False;card_pictures/Base/Silver.jpg
34;Gold;Base;['Treasure'];$6;$3;;;;+$3;;;;;;False;False;False;card_pictures/Base/Gold.jpg
35;Estate;Base;['Victory'];$2;1VP;;;;;;;;;1VP;False;False;False;card_pictures/Base/Estate.jpg
36;Duchy;Base;['Victory'];$5;3VP;;;;;;;;;3VP;False;False;False;card_pictures/Base/Duchy.jpg
37;Province;Base;['Victory'];$8;6VP;;;;;;;;;6VP;False;False;False;card_pictures/Base/Province.jpg
38;Curse;Base;['Curse'];$0;-1VP;;;;;;;;;-1VP;False;False;False;card_pictures/Base/Curse.jpg
39;Courtyard;Intrigue;['Action'];$2;+3 CardsPut a card from your hand onto your deck.;;+3,-1;;;;;;;;False;False;True;card_pictures/Intrigue/Courtyard.jpg
40;Lurker;Intrigue, 2E;['Action'];$2;"+1 ActionChoose one: Trash an Action card from the Supply; or gain an Action card from the trash.";+1;;;;1?;;;1?;;False;False;True;card_pictures/Intrigue_2E/Lurker.jpg
41;Pawn;Intrigue;['Action'];$2;"Choose two: +1 Card; +1 Action; +1 Buy; +$1. The choices must be different.";+1?;+1?;+1?;+$1?;;;;;;False;False;True;card_pictures/Intrigue/Pawn.jpg
42;Secret Chamber;Intrigue, 1E;['Action', 'Reaction'];$2;Discard any number of cards. +$1 per card discarded.When another player plays an Attack card, you may reveal this from your hand. If you do, +2 Cards, then put 2 cards from your hand on top of your deck.;;-X;;+$x;;;;;;False;False;True;card_pictures/Intrigue_1E/Secret_Chamber.jpg
