since release of Allies,,,"games with strong players (mu>1.8 for one, or mu>1.3 for both)",,,,,,,,,,,,,,,,,,,,,,,,,all players,,,,,,,,,,,,,,,,,,,,,,,,,card classification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
name,kingdom card,expansion,games,banned,Province ending,3-pile ending,resignation,turns,w/o resignation,Province ending,3-pile ending,resignation,VP winner,w/o resignation,VP loser,w/o resignation,decisions (per player),time (minutes),empty pile,in deck,in deck %,winner in deck,winner in deck %,loser in deck,loser in deck %,skill multiplier,first player win rate,games,banned,Province ending,3-pile ending,resignation,turns,Province ending,3-pile ending,resignation,w/o resignation,VP winner,w/o resignation,VP loser,w/o resignation,decisions (per player),time (minutes),empty pile,in deck,in deck %,winner in deck,winner in deck %,loser in deck,loser in deck %,skill multiplier,first player win rate,cost,Thunderdominion 2023,landscape,Event,Landmark,Project,Way,Ally,Trait,village,draw,terminal draw,draw-to-x,nonterminal draw,trashing,thinning,trashing multiple cards,trashing curses,trashing treasures,trashing victory cards,trashing actions,trash for benefit,additional gains,+buy,alt VP,VP tokens,attack,handsize attack,junking attack,trashing attack,colonies,shelters,potion,duration,night,villagers,coffers,on buy/gain/trash effect,cantrip,throne rooms,cost reduction,disappearing money,sifter,exiler,horses,loot
Province,Province,always,"183,556",0%,29%,25%,47%,13.7,15.0,15.7,14.3,12.3,25,33,16,22,117,12,27%,1.8,62%,1.9,63%,1.7,60%,0.97,59%,"8,578,190",0%,50%,17%,33%,16.9,18.3,18.2,18.5,14.1,31,37,21,26,111,11,48%,2.7,80%,2.8,80%,2.6,78%,0.88,56%,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abundance,Abundance,Plunder,"2,312",0%,27%,28%,46%,13.5,14.8,15.6,14.0,12.0,23,31,15,20,114,12,7%,1.4,57%,1.4,57%,1.3,56%,0.99,58%,"74,437",0%,48%,19%,33%,16.4,17.8,18.0,17.4,13.7,31,37,20,25,114,12,4%,1.2,54%,1.2,54%,1.1,54%,0.95,56%,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Buried Treasure,Buried Treasure,Plunder,"2,249",0%,32%,27%,41%,13.6,14.6,15.0,14.0,12.2,25,32,16,22,110,11,18%,2.3,74%,2.3,75%,2.1,72%,0.92,60%,"92,181",0%,55%,16%,30%,16.1,17.2,17.3,16.9,13.5,33,38,22,27,106,11,11%,1.9,73%,2.0,74%,1.9,73%,0.87,56%,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cabin Boy,Cabin Boy,Plunder,"2,365",0%,30%,23%,46%,13.7,14.9,15.4,14.1,12.4,25,33,16,22,115,11,13%,1.3,48%,1.3,48%,1.3,48%,1.00,59%,"96,684",0%,57%,13%,30%,16.3,17.4,17.4,17.2,13.8,33,38,22,27,110,11,10%,1.4,54%,1.4,54%,1.3,53%,0.85,56%,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Cage,Cage,Plunder,"2,260",0%,29%,23%,48%,13.4,14.7,15.3,14.0,11.9,24,33,15,21,111,12,4%,0.5,27%,0.5,27%,0.5,28%,1.02,60%,"73,766",0%,51%,15%,34%,16.3,17.7,17.8,17.5,13.6,32,38,21,26,111,11,1%,0.2,15%,0.2,15%,0.2,15%,0.96,56%,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Crew,Crew,Plunder,"2,344",0%,31%,23%,46%,13.8,15.0,15.7,14.2,12.3,24,33,16,22,117,12,3%,0.9,46%,1.0,48%,0.9,45%,0.94,60%,"96,973",0%,55%,13%,33%,16.4,17.6,17.6,17.6,13.8,32,38,21,26,110,11,1%,0.7,43%,0.7,43%,0.7,42%,0.87,56%,5,12,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Crucible,Crucible,Plunder,"2,281",0%,34%,21%,44%,13.7,14.8,15.2,14.2,12.3,25,33,15,21,116,12,1%,0.9,61%,0.9,60%,0.8,62%,0.88,57%,"97,364",0%,58%,12%,30%,16.4,17.5,17.5,17.3,13.8,32,37,21,25,108,11,1%,0.9,62%,0.9,62%,0.9,62%,0.93,56%,4,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cutthroat,Cutthroat,Plunder,"2,323",0%,28%,21%,52%,14.6,16.1,16.6,15.5,13.2,24,34,15,21,121,12,0%,1.0,66%,1.0,67%,0.9,66%,1.04,57%,"72,925",0%,48%,15%,37%,17.7,19.4,19.5,19.0,14.8,32,39,20,26,121,13,2%,1.5,81%,1.5,81%,1.5,80%,0.96,55%,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Enlarge,Enlarge,Plunder,"2,286",0%,31%,25%,44%,13.1,14.3,14.9,13.6,11.6,23,30,14,19,112,11,1%,1.0,64%,1.0,64%,1.0,64%,0.93,58%,"96,487",0%,52%,17%,30%,16.1,17.3,17.4,17.0,13.4,31,37,20,25,109,11,0%,0.8,59%,0.8,59%,0.8,59%,0.94,56%,5,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Figurine,Figurine,Plunder,"2,316",0%,31%,25%,45%,14.0,15.2,15.9,14.3,12.6,25,33,15,21,122,12,7%,1.1,46%,1.2,47%,1.1,44%,0.97,56%,"92,610",0%,53%,15%,32%,16.8,18.0,18.0,17.9,14.1,32,38,22,26,114,11,2%,0.9,45%,0.9,45%,0.9,44%,0.86,56%,5,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
