Name;Expansion;Types;Cost;Text;Actions / Villagers;Cards;Buys;Coins / Coffers;Trash / Return;Exile;Junk;Gain;Victory Points;ImagePath;IsLandscape;IsOtherThing;IsInSupply;ParentPile;IsExtendedLandscape;IsPartOfSplitPile;IsRealSupplyCard;village_quality;draw_quality;thinning_quality;gain_quality;attack_quality;altvp_quality;interactivity_quality;village_types;draw_types;thinning_types;gain_types;attack_types;altvp_types;CardAmount;WikiLink;Extra Components;has_extra_components
Cellar;Base;['Action'];$2;+1 Action Discard any number of cards, then draw that many.;+1;-X, +X;;;;;;;;Base/Cellar.jpg;False;False;True;;False;False;True;0;0;0;0;0;0;0;[];[];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Cellar;[];False
Chapel;Base;['Action'];$2;Trash up to 4 cards from your hand.;;;;;0-4;;;;;Base/Chapel.jpg;False;False;True;;False;False;True;0;0;3;0;0;0;0;[];[];['Any'];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Chapel;['Trash mat'];True
Moat;Base;['Action', 'Reaction'];$2;+2 CardsWhen another player plays an Attack card, you may first reveal this from your hand, to be unaffected by it.;;+2;;;;;;;;Base/Moat.jpg;False;False;True;;False;False;True;0;1;0;0;0;0;1;[];['Moat'];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Moat;[];False
Chancellor;Base, 1E;['Action'];$3;+$2 You may immediately put your deck into your discard pile.;;;;+$2;;;;;;Base_1E/Chancellor.jpg;False;False;True;;False;False;True;0;0;0;0;0;0;0;[];[];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Chancellor;[];False
Harbinger;Base, 2E;['Action'];$3;+1 Card +1 Action Look through your discard pile. You may put a card from it onto your deck.;+1;+1;;;;;;;;Base_2E/Harbinger.jpg;False;False;True;;False;False;True;0;0;0;0;0;0;0;[];[];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Harbinger;[];False
Merchant;Base, 2E;['Action'];$3;+1 Card +1 Action The first time you play a Silver this turn, +$1.;+1;+1;;!+$1;;;;;;Base_2E/Merchant.jpg;False;False;True;;False;False;True;0;0;0;0;0;0;0;[];[];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Merchant;[];False
Vassal;Base, 2E;['Action'];$3;+$2 Discard the top card of your deck. If it's an Action card, you may play it.;!P1?;;;+$2;;;;;;Base_2E/Vassal.jpg;False;False;True;;False;False;True;0;0;0;0;0;0;0;[];[];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Vassal;[];False
Village;Base;['Action'];$3;+1 Card +2 Actions;+2;+1;;;;;;;;Base/Village.jpg;False;False;True;;False;False;True;2;0;0;0;0;0;0;['Handsize-neutral'];[];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Village;[];False
Woodcutter;Base, 1E;['Action'];$3;+1 Buy +$2;;;+1;+$2;;;;;;Base_1E/Woodcutter.jpg;False;False;True;;False;False;True;0;0;0;2;0;0;0;[];[];[];['Buys'];[];[];10;https://wiki.dominionstrategy.com/index.php/Woodcutter;[];False
Workshop;Base;['Action'];$3;Gain a card costing up to $4.;;;;;;;;1;;Base/Workshop.jpg;False;False;True;;False;False;True;0;0;0;2;0;0;0;[];[];[];['Workshop'];[];[];10;https://wiki.dominionstrategy.com/index.php/Workshop;[];False
Bureaucrat;Base;['Action', 'Attack'];$4;Gain a Silver onto your deck. Each other player reveals a Victory card from their hand and puts it onto their deck (or reveals a hand with no Victory cards).;;;;;;;;1;;Base/Bureaucrat.jpg;False;False;True;;False;False;True;0;0;0;1;1;0;2;[];[];[];['Specific'];['Handsize', 'Deck order'];[];10;https://wiki.dominionstrategy.com/index.php/Bureaucrat;[];False
Feast;Base, 1E;['Action'];$4;Trash this card. Gain a card costing up to $5.;;;;;Self;;;1;;Base_1E/Feast.jpg;False;False;True;;False;False;True;0;0;0;1;0;0;0;[];[];[];['Remodel*'];[];[];10;https://wiki.dominionstrategy.com/index.php/Feast;[];False
Gardens;Base;['Victory'];$4;Worth 1 per 10 cards you have (round down).;;;;;;;;;X;Base/Gardens.jpg;False;False;True;;False;False;True;0;0;0;0;0;2;0;[];[];[];[];[];['Scaling'];8*;https://wiki.dominionstrategy.com/index.php/Gardens;[];False
Militia;Base;['Action', 'Attack'];$4;+$2 Each other player discards down to 3 cards in hand.;;;;+$2;;;;;;Base/Militia.jpg;False;False;True;;False;False;True;0;0;0;0;2;0;2;[];[];[];[];['Handsize'];[];10;https://wiki.dominionstrategy.com/index.php/Militia;[];False
Moneylender;Base;['Action'];$4;You may trash a Copper from your hand for +$3.;;;;!+$3;1?;;;;;Base/Moneylender.jpg;False;False;True;;False;False;True;0;0;2;0;0;0;0;[];[];['Copper'];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Moneylender;['Trash mat'];True
Poacher;Base, 2E;['Action'];$4;+1 Card +1 Action +$1 Discard a card per empty Supply pile.;+1;+1, -X;;+$1;;;;;;Base_2E/Poacher.jpg;False;False;True;;False;False;True;0;0;0;0;0;0;1;[];[];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Poacher;[];False
Remodel;Base;['Action'];$4;Trash a card from your hand. Gain a card costing up to $2 more than it.;;;;;1;;;!1;;Base/Remodel.jpg;False;False;True;;False;False;True;0;0;1;1;0;0;0;[];[];['Any', 'Remodel'];['Remodel'];[];[];10;https://wiki.dominionstrategy.com/index.php/Remodel;['Trash mat'];True
Smithy;Base;['Action'];$4;+3 Cards;;+3;;;;;;;;Base/Smithy.jpg;False;False;True;;False;False;True;0;2;0;0;0;0;0;[];['Smithy'];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Smithy;[];False
Spy;Base, 1E;['Action', 'Attack'];$4;+1 Card +1 Action Each player (including you) reveals the top card of his deck and either discards it or puts it back, your choice.;+1;+1;;;;;;;;Base_1E/Spy.jpg;False;False;True;;False;False;True;0;0;0;0;1;0;2;[];[];[];[];['Deck order'];[];10;https://wiki.dominionstrategy.com/index.php/Spy;[];False
Thief;Base, 1E;['Action', 'Attack'];$4;Each other player reveals the top 2 cards of his deck. If they revealed any Treasure cards, they trash one of them that you choose. You may gain any or all of these trashed cards. They discard the other revealed cards.;;;;;;;;X;;Base_1E/Thief.jpg;False;False;True;;False;False;True;0;0;0;1;2;0;2;[];[];[];['Specific*'];['Trashing', 'Deck order'];[];10;https://wiki.dominionstrategy.com/index.php/Thief;[];False
Throne Room;Base;['Action'];$4;You may play an Action card from your hand twice.;P2?;;;;;;;;;Base/Throne_Room.jpg;False;False;True;;False;False;True;2;0;0;0;0;0;0;['Throne'];[];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Throne_Room;[];False
Bandit;Base, 2E;['Action', 'Attack'];$5;Gain a Gold. Each other player reveals the top 2 cards of their deck, trashes a revealed Treasure other than Copper, and discards the rest.;;;;;;;;1;;Base_2E/Bandit.jpg;False;False;True;;False;False;True;0;0;0;1;1;0;2;[];[];[];['Specific'];['Trashing', 'Deck order'];[];10;https://wiki.dominionstrategy.com/index.php/Bandit;[];False
Council Room;Base;['Action'];$5;+4 Cards +1 Buy Each other player draws a card.;;+4;+1;;;;;;;Base/Council_Room.jpg;False;False;True;;False;False;True;0;3;0;2;0;0;1;[];['Smithy'];[];['Buys'];[];[];10;https://wiki.dominionstrategy.com/index.php/Council_Room;[];False
Festival;Base;['Action'];$5;+2 Actions +1 Buy +$2;+2;;+1;+$2;;;;;;Base/Festival.jpg;False;False;True;;False;False;True;2;0;0;2;0;0;0;['Handsize-decreasing'];[];[];['Buys'];[];[];10;https://wiki.dominionstrategy.com/index.php/Festival;[];False
Laboratory;Base;['Action'];$5;+2 Cards +1 Action;+1;+2;;;;;;;;Base/Laboratory.jpg;False;False;True;;False;False;True;0;2;0;0;0;0;0;[];['Lab'];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Laboratory;[];False
Library;Base;['Action'];$5;"Draw until you have 7 cards in hand, skipping any Action cards you choose to; set those aside, discarding them afterwards.";;=7;;;;;;;;Base/Library.jpg;False;False;True;;False;False;True;0;2;0;0;0;0;0;[];['DTX'];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Library;[];False
Market;Base;['Action'];$5;+1 Card +1 Action +1 Buy +$1;+1;+1;+1;+$1;;;;;;Base/Market.jpg;False;False;True;;False;False;True;0;0;0;2;0;0;0;[];[];[];['Buys'];[];[];10;https://wiki.dominionstrategy.com/index.php/Market;[];False
Mine;Base;['Action'];$5;You may trash a Treasure card from your hand. Gain a Treasure card to your hand costing up to $3 more than it.;;!(+1);;;1?;;;!1;;Base/Mine.jpg;False;False;True;;False;False;True;0;0;1;1;0;0;0;[];[];['Treasure', 'Remodel*'];['Remodel*', 'Specific'];[];[];10;https://wiki.dominionstrategy.com/index.php/Mine;['Trash mat'];True
Sentry;Base, 2E;['Action'];$5;+1 Card +1 Action Look at the top 2 cards of your deck. Trash and/or discard any number of them. Put the rest back on top in any order.;+1;+1;;;0-2?;;;;;Base_2E/Sentry.jpg;False;False;True;;False;False;True;0;0;2;0;0;0;0;[];[];['Any'];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Sentry;['Trash mat'];True
Witch;Base;['Action', 'Attack'];$5;+2 Cards Each other player gains a Curse.;;+2;;;;;1;;;Base/Witch.jpg;False;False;True;;False;False;True;0;1;0;0;3;0;2;[];['Moat'];[];[];['Junking', 'Scoring'];[];10;https://wiki.dominionstrategy.com/index.php/Witch;[];False
Adventurer;Base, 1E;['Action'];$6;Reveal cards from your deck until you reveal 2 Treasure cards. Put those Treasure cards into your hand and discard the other revealed cards.;;+2;;;;;;;;Base_1E/Adventurer.jpg;False;False;True;;False;False;True;0;1;0;0;0;0;0;[];['Lab*'];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Adventurer;[];False
Artisan;Base, 2E;['Action'];$6;Gain a card to your hand costing up to $5. Put a card from your hand onto your deck.;;(+1), -1;;;;;;1;;Base_2E/Artisan.jpg;False;False;True;;False;False;True;0;0;0;3;0;0;0;[];[];[];['Workshop+'];[];[];10;https://wiki.dominionstrategy.com/index.php/Artisan;[];False
Copper;Base;['Treasure'];$0;$1;;;;+$1;;;;;;Base/Copper.jpg;False;False;False;;False;False;False;0;0;0;0;0;0;0;[];[];[];[];[];[];46;https://wiki.dominionstrategy.com/index.php/Copper;[];False
Silver;Base;['Treasure'];$3;$2;;;;+$2;;;;;;Base/Silver.jpg;False;False;False;;False;False;False;0;0;0;0;0;0;0;[];[];[];[];[];[];40;https://wiki.dominionstrategy.com/index.php/Silver;[];False
Gold;Base;['Treasure'];$6;$3;;;;+$3;;;;;;Base/Gold.jpg;False;False;False;;False;False;False;0;0;0;0;0;0;0;[];[];[];[];[];[];30;https://wiki.dominionstrategy.com/index.php/Gold;[];False
Estate;Base;['Victory'];$2;1;;;;;;;;;1;Base/Estate.jpg;False;False;False;;False;False;False;0;0;0;0;0;0;0;[];[];[];[];[];[];8*;https://wiki.dominionstrategy.com/index.php/Estate;[];False
Duchy;Base;['Victory'];$5;3;;;;;;;;;3;Base/Duchy.jpg;False;False;False;;False;False;False;0;0;0;0;0;0;0;[];[];[];[];[];[];8*;https://wiki.dominionstrategy.com/index.php/Duchy;[];False
Province;Base;['Victory'];$8;6;;;;;;;;;6;Base/Province.jpg;False;False;False;;False;False;False;0;0;0;0;0;0;0;[];[];[];[];[];[];8*;https://wiki.dominionstrategy.com/index.php/Province;[];False
Curse;Base;['Curse'];$0;–1;;;;;;;;;-1;Base/Curse.jpg;False;False;False;;False;False;False;0;0;0;0;0;0;0;[];[];[];[];[];[];10*;https://wiki.dominionstrategy.com/index.php/Curse;[];False
Courtyard;Intrigue;['Action'];$2;+3 Cards Put a card from your hand onto your deck.;;+3, -1;;;;;;;;Intrigue/Courtyard.jpg;False;False;True;;False;False;True;0;1;0;0;0;0;0;[];['Moat'];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Courtyard;[];False
Lurker;Intrigue, 2E;['Action'];$2;"+1 Action Choose one: Trash an Action card from the Supply; or gain an Action card from the trash.";+1;;;;1 Supply?;;;1?;;Intrigue_2E/Lurker.jpg;False;False;True;;False;False;True;0;0;0;2;0;0;0;[];[];[];['Workshop+*'];[];[];10;https://wiki.dominionstrategy.com/index.php/Lurker;['Trash mat'];True
Pawn;Intrigue;['Action'];$2;"Choose two: +1 Card; +1 Action; +1 Buy; +$1. The choices must be different.";+1?;+1?;+1?;+$1?;;;;;;Intrigue/Pawn.jpg;False;False;True;;False;False;True;0;0;0;2;0;0;0;[];[];[];['Buys'];[];[];10;https://wiki.dominionstrategy.com/index.php/Pawn;[];False
Secret Chamber;Intrigue, 1E;['Action', 'Reaction'];$2;Discard any number of cards. +$1 per card discarded.When another player plays an Attack card, you may reveal this from your hand. If you do, +2 Cards, then put 2 cards from your hand on top of your deck.;;-X;;+$X;;;;;;Intrigue_1E/Secret_Chamber.jpg;False;False;True;;False;False;True;0;0;0;0;0;0;0;[];[];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Secret_Chamber;[];False
Great Hall;Intrigue, 1E;['Action', 'Victory'];$3;+1 Card +1 Action1;+1;+1;;;;;;;1;Intrigue_1E/Great_Hall.jpg;False;False;True;;False;False;True;0;0;0;0;0;2;0;[];[];[];[];[];['Plain'];8*;https://wiki.dominionstrategy.com/index.php/Great_Hall;[];False
Masquerade;Intrigue;['Action'];$3;+2 Cards Each player with any cards in hand passes one to the next such player to their left, at once. Then you may trash a card from your hand.;;+2, -1;;;1?;;1?, !Self;1;;Intrigue/Masquerade.jpg;False;False;True;;False;False;True;0;1;2;0;1;0;3;[];['Moat'];['Any'];[];['Indirect'];[];10;https://wiki.dominionstrategy.com/index.php/Masquerade;['Trash mat'];True
Shanty Town;Intrigue;['Action'];$3;+2 Actions Reveal your hand. If you have no Action cards in hand, +2 Cards.;+2;+2?;;;;;;;;Intrigue/Shanty_Town.jpg;False;False;True;;False;False;True;2;1;0;0;0;0;0;['Handsize-decreasing', 'Handsize-neutral*'];['Lab*'];[];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Shanty_Town;[];False
Steward;Intrigue;['Action'];$3;"Choose one: +2 Cards; or +$2; or trash 2 cards from your hand.";;+2?;;+$2?;2?;;;;;Intrigue/Steward.jpg;False;False;True;;False;False;True;0;1;2;0;0;0;0;[];['Moat'];['Any'];[];[];[];10;https://wiki.dominionstrategy.com/index.php/Steward;['Trash mat'];True
