CSO1;CSO2;Rule
abundance;mandarin;If you gain a Mandarin and have played Abundance before that, you put it on top of your deck, but the duration effect still persists.
acting_troupe;band_of_misfits;If you play Acting Troupe using Band of Misfits, it stays where it was, and *do* get the effect you would have gotten from trashing it.
acting_troupe;captain;If you play Acting Troupe using Captain, it stays where it was, and *do* get the effect you would have gotten from trashing it.
acting_troupe;necromancer;If you play Acting Troupe using Necromancer and try to trash itself, it stays where it was, and *do* get the effect.
acting_troupe;overlord;If you play Acting Troupe using Overlord and try to trash itself, it stays where it was, and *do* get the effect.
acting_troupe;prince;If you have set aside Acting Troupe with Prince and try to trash itself when you play it, it stays where it was, and you *do* get the effect.
alchemist;journey;If you play Alchemists and buy Journey, if you have a Potion in play, you may topdeck the Alchemists for the Journey turn, and also on the Journey turn.
alchemist;reckless;[Only if Reckless is on Alchemist] If Alchemist is Reckless, you may topdeck it during Clean-up if you have a Potion in play, circumventing Reckless' return-to-pile prompt.
alchemist;stonemason;You may overpay with Potions when buying Stonemason to gain two Alchemists.
alchemist;walled_village;At the start of Clean-up, you may choose to resolve Alchemist's topdecking first (if you have a Potion in play) and only afterwards assess the amount of Action cards in play for Walled Village's topdecking.
amphora;mandarin;If you gain a Mandarin and have played Amphora before that, you put it on top of your deck, but the duration effect still persists.
amphora;panic;When you discard Amphora from play while Panic is active, you return it to the top of the Loot pile. When discarding multiple, you get to choose the order.
amulet;townsfolk;If you play an Amulet using Elder, you get to pick two of the options this turn, but only one option on the next turn.
amulet;way_of_the_chameleon;If you play Amulet using Way of the Chameleon, remember that Way of the Chameleon only affects stuff happening *this turn*, so on your next turn, you will get the normal bonus from Amulet.
apothecary;stonemason;You may overpay with Potions when buying Stonemason to gain two Apothecarys.
approaching_army;harbor_village;Even if Approaching Army is active, Harbor Village does not give you +$1 when you play an Attack (that doesn't give +$) after it, since it's Approaching Army providing the +$1, not the Attack card itself.
architects_guild;destrier;Destrier's cost will be evaluated after each gain, so if you gain a Destrier costing $6, you may gain a card cheaper than $5 afterwards using Architect's Guild. On the other hand, you may gain an initially $6-costing Destrier off of a Gold gain using Architect's Guild.
architects_guild;fisherman;Fisherman's cost will be evaluated after each gain, so if you e.g. gain a Fisherman for $2, you may use two Favors to gain a card costing less than $5 (as long as the Fisherman is in the Discard Pile). On the other hand, you normally cannot gain a Fisherman for $2 off of a $5 cost gain using Architect's Guild.
arena;faithful_hound;You may still discard a card like Faithful Hound for Arena even if there are no more VP tokens available. Be aware that there might be an Autoplay in the online clients skipping over this step that you'll have to turn off.
arena;trail;You may still discard a card like Trail for Arena even if there are no more VP tokens available. Be aware that there might be an Autoplay in the online clients skipping over this step that you'll have to turn off.
arena;village_green;You may still discard a card like Village Green for Arena even if there are no more VP tokens available. Be aware that there might be an Autoplay in the online clients skipping over this step that you'll have to turn off.
arena;weaver;You may still discard a card like Weaver for Arena even if there are no more VP tokens available. Be aware that there might be an Autoplay in the online clients skipping over this step that you'll have to turn off.
armory;city-state;When you gain a card using Armory and immediately play it using City-State, you will not be able to topdeck it.
armory;den_of_sin;If you gain a Den of Sin using Armory, it is topdecked instead of being gained to your hand.
armory;gatekeeper;When you gain an Action or Treasure using Armory while under the Gatekeeper attack, it will be gained on top of your deck and then Exiled if you do not have a copy of it in Exile.
armory;ghost_town;If you gain a Ghost Town using Armory, it is topdecked instead of being gained to your hand.
armory;guardian;If you gain a Guardian using Armory, it is topdecked instead of being gained to your hand.
armory;innovation;When you gain a card using Armory and immediately play it using Innovation, you will not be able to topdeck it.
armory;night_watchman;If you gain a Night Watchman using Armory, it is topdecked instead of being gained to your hand.
armory;rapid_expansion;When you gain a card using Armory, it will be gained on top of your deck and then be set aside if Rapid Expansion is active.
armory;rush;When you gain a card using Armory and immediately play it using Rush, you will not be able to topdeck it.
armory;siren;If you gain a Siren onto your deck using Armory, you still need to trash an Action card from your hand in order to not trash the Siren.
armory;villa;If you gain a Villa using Armory, it is first topdecked and then you put it into your hand.
artisan;gatekeeper;If you gain an Action or Treasure and put it in your hand using Artisan while under the Gatekeeper attack, you still need to Exile it if you don't have a copy of it in Exile unless you somehow manage to play it during the on-gain-window (e.g. via City-State, or if it has a reaction that plays it, like Sheepdog or Berserker).
artisan;sheepdog;If you gain a Sheepdog to your hand using Artisan, you can immediately react to its own gain and play it.
artisan;siren;If you gain a Siren and put it in your hand using Artisan, you still need to trash an Action from your hand in order to not trash the Siren.
astrolabe;mandarin;If you gain a Mandarin and have played Astrolabe before that, you put it on top of your deck, but the duration effect still persists.
augurs;band_of_misfits;If you play Acolyte using Band of Misfits and try to trash itself, it stays where it was, and you do not get the effect you would have gotten from trashing it.
augurs;captain;If you play Acolyte using Captain and try to trash itself, it stays where it was, and you do not get the effect you would have gotten from trashing it.
augurs;clashes;Playing an Action card using Herb Gatherer from your discard pile does not count as playing it from hand as far as Warlord's attack is concerned.
augurs;crown;If Herb Gatherer's ability lets you play a Treasure in your Action phase, and this Treasure is a Crown, then because it is your Action phase, Crown lets you play an Action card (and not a Treasure) from your hand twice.
augurs;faithful_hound;Playing Herb Gatherer with a Faithful Hound in your deck does not count as discarding Faithful Hound, so you do not get to react.
augurs;ferry;You may put the -$2 token on the Augurs pile using Ferry. This will affect all of its cards.
augurs;ferryman;[Only in set-aside case] When you set aside the Augurs with Ferryman, the next player to gain a Ferryman will gain the top card of the pile, and choosing to rotate it using Herb Gatherer still works.
augurs;lost_arts;You may put the + Action token on the Augurs pile using Lost Arts. This will affect all of its cards.
augurs;necromancer;If you play Acolyte using Necromancer and try to trash itself, it stays where it was, and you do not get the effect you would have gotten from trashing it.
augurs;odysseys;Playing a card from your discard pile using Herb Gatherer does not count as playing it from hand as far as Voyage turns are concerned.
augurs;overlord;If you play Acolyte using Overlord and try to trash itself, it stays where it was, and you do not get the effect you would have gotten from trashing it.
augurs;pathfinding;You may put the + Card token on the Augurs pile using Pathfinding. This will affect all of its cards.
augurs;peasant;You may put any token on the Augurs pile using Teacher. This will affect all of its cards.
augurs;plan;You may put the trashing token on the Augurs pile using Plan. This will affect all of its cards.
augurs;prince;If you have set aside Acolyte with Prince and try to trash itself when you play it, it stays where it was, and you do not get the effect you would have gotten from trashing it.
augurs;seaway;You may put the + Buy token on the Augurs pile using Seaway. This will affect all of its cards.
augurs;trail;Playing Herb Gatherer with a Trail in your deck does not count as discarding Trail, so you do not get to react.
augurs;training;You may put the + $1 token on the Augurs pile using Training. This will affect all of its cards.
augurs;tunnel;Playing Herb Gatherer with a Tunnel in your deck does not count as discarding Tunnel, so you do not get to react.
augurs;village_green;Playing Herb Gatherer with a Village Green in your deck does not count as discarding Village Green, so you do not get to react.
augurs;weaver;Playing Herb Gatherer with a Weaver in your deck does not count as discarding Weaver, so you do not get to react.
avoid;faithful_hound;Putting cards into your discard pile via Avoid with a Faithful Hound in your deck does not count as discarding Faithful Hound, so you do not get to react.
avoid;trail;Putting cards into your discard pile via Avoid with a Trail in your deck does not count as discarding Trail, so you do not get to react.
avoid;tunnel;Putting cards into your discard pile via Avoid with a Tunnel in your deck does not count as discarding Tunnel, so you do not get to react.
avoid;village_green;Putting cards into your discard pile via Avoid with a Village Green in your deck does not count as discarding Village Green, so you do not get to react.
avoid;weaver;Putting cards into your discard pile via Avoid with a Weaver in your deck does not count as discarding Weaver, so you do not get to react.
