Name;Expansion;Types;Cost;Text;Actions / Villagers;Cards;Buys;Coins / Coffers;Trash / Return;Exile;Junk;Gain;Victory Points;ImagePath
Cellar;Base;Action;$2;+1 Action Discard any number of cards, then draw that many.;+1;-X, +X;;;;;;;;Base/Cellar.jpg
Chapel;Base;Action;$2;Trash up to 4 cards from your hand.;;;;;0-4;;;;;Base/Chapel.jpg
Moat;Base;Action - Reaction;$2;+2 CardsWhen another player plays an Attack card, you may first reveal this from your hand, to be unaffected by it.;;+2;;;;;;;;Base/Moat.jpg
Chancellor;Base, 1E;Action;$3;+$2 You may immediately put your deck into your discard pile.;;;;+$2;;;;;;Base_1E/Chancellor.jpg
Harbinger;Base, 2E;Action;$3;+1 Card +1 Action Look through your discard pile. You may put a card from it onto your deck.;+1;+1;;;;;;;;Base_2E/Harbinger.jpg
Merchant;Base, 2E;Action;$3;+1 Card +1 Action The first time you play a Silver this turn, +$1.;+1;+1;;!+$1;;;;;;Base_2E/Merchant.jpg
Vassal;Base, 2E;Action;$3;+$2 Discard the top card of your deck. If it's an Action card, you may play it.;!P1?;;;+$2;;;;;;Base_2E/Vassal.jpg
Village;Base;Action;$3;+1 Card +2 Actions;+2;+1;;;;;;;;Base/Village.jpg
Woodcutter;Base, 1E;Action;$3;+1 Buy +$2;;;+1;+$2;;;;;;Base_1E/Woodcutter.jpg
Workshop;Base;Action;$3;Gain a card costing up to $4.;;;;;;;;1;;Base/Workshop.jpg
Bureaucrat;Base;Action - Attack;$4;Gain a Silver onto your deck. Each other player reveals a Victory card from their hand and puts it onto their deck (or reveals a hand with no Victory cards).;;;;;;;;1;;Base/Bureaucrat.jpg
Feast;Base, 1E;Action;$4;Trash this card. Gain a card costing up to $5.;;;;;Self;;;1;;Base_1E/Feast.jpg
Gardens;Base;Victory;$4;Worth 1 per 10 cards you have (round down).;;;;;;;;;X;Base/Gardens.jpg
Militia;Base;Action - Attack;$4;+$2 Each other player discards down to 3 cards in hand.;;;;+$2;;;;;;Base/Militia.jpg
