2023-12-18,25.82%
2023-12-19,23.11%
2023-12-20,7.58%
2023-12-21,26.94%
2023-12-22,11.90%
2023-12-23,33.63%
2023-12-24,52.53%
2023-12-25,27.08%
2023-12-26,30.15%
2023-12-27,31.50%
2023-12-28,11.53%
2023-12-29,42.09%
2023-12-30,22.25%
2023-12-31,31.48%
2024-01-01,9.83%
2024-01-02,25.38%
2024-01-03,10.42%
2024-01-04,12.60%
2024-01-05,36.63%
2024-01-06,21.89%
2024-01-07,22.15%
2024-01-08,22.83%
2024-01-09,34.63%
2024-01-10,22.14%
2024-01-11,29.82%
2024-01-12,16.65%
2024-01-13,27.85%
2024-01-14,34.97%
2024-01-15,20.07%
2024-01-16,7.00%
2024-01-17,15.06%
2024-01-18,4.16%
2024-01-19,32.85%
2024-01-20,28.99%
2024-01-21,22.84%
2024-01-22,32.77%
2024-01-23,30.15%
2024-01-24,38.50%
2024-01-25,27.12%
2024-01-26,36.00%
2024-01-27,23.79%
2024-01-28,33.53%
2024-01-29,41.44%
2024-01-30,20.06%
2024-01-31,25.12%
2024-02-01,40.79%
2024-02-02,14.12%
2024-02-03,18.75%
2024-02-04,6.49%
2024-02-05,5.75%
2024-02-06,10.52%
2024-02-07,10.11%
2024-02-08,9.87%
2024-02-09,10.93%
2024-02-10,9.73%
2024-02-11,7.80%
2024-02-12,5.16%
2024-02-13,16.76%
2024-02-14,15.94%
2024-02-15,13.22%
2024-02-16,24.12%
2024-02-17,22.06%
2024-02-18,17.15%
2024-02-19,6.75%
2024-02-20,6.72%
2024-02-21,27.45%
2024-02-22,10.49%
2024-02-23,16.37%
2024-02-24,14.65%
2024-02-25,29.87%
2024-02-26,18.25%
2024-02-27,16.51%
2024-02-28,5.62%
2024-02-29,19.26%
2024-03-01,15.83%
2024-03-02,6.04%
2024-03-03,5.55%
2024-03-04,6.07%
2024-03-05,10.31%
2024-03-06,21.12%
2024-03-07,22.42%
2024-03-08,19.58%
2024-03-09,11.26%
2024-03-10,9.57%
2024-03-11,7.63%
2024-03-12,15.35%
2024-03-13,9.05%
2024-03-14,4.20%
2024-03-15,14.57%
2024-03-16,23.85%
2024-03-17,8.79%
2024-03-18,31.81%
2024-03-19,44.84%
2024-03-20,14.74%
2024-03-21,24.63%
2024-03-22,26.68%
2024-03-23,3.96%
2024-03-24,27.41%
2024-03-25,23.00%
2024-03-26,17.84%
2024-03-27,35.58%
2024-03-28,15.69%
2024-03-29,18.52%
2024-03-30,26.75%
2024-03-31,15.14%
2024-04-01,20.60%
2024-04-02,20.78%
2024-04-03,13.04%
2024-04-04,20.74%
2024-04-05,18.10%
2024-04-06,4.17%
2024-04-07,8.37%
2024-04-08,42.66%
2024-04-09,13.33%
2024-04-10,11.87%
2024-04-11,30.72%
2024-04-12,13.02%
2024-04-13,12.75%
2024-04-14,20.40%
2024-04-15,16.00%
2024-04-16,13.01%
2024-04-17,5.24%
2024-04-18,9.12%
2024-04-19,16.96%
2024-04-20,5.33%
2024-04-21,21.12%
2024-04-22,24.22%
2024-04-23,23.79%
2024-04-24,20.01%
2024-04-25,36.12%
2024-04-26,12.72%
2024-04-27,14.27%
2024-04-28,17.32%
2024-04-29,16.83%
2024-04-30,20.35%
2024-05-01,16.91%
2024-05-02,23.34%
2024-05-03,12.89%
2024-05-04,26.26%
2024-05-05,10.49%
2024-05-06,11.14%
2024-05-07,19.47%
2024-05-08,36.81%
2024-05-09,22.81%
2024-05-10,12.65%
2024-05-11,23.10%
2024-05-12,24.66%
2024-05-13,44.07%
2024-05-14,9.37%
2024-05-15,29.59%
2024-05-16,17.77%
2024-05-17,6.92%
2024-05-18,32.29%
2024-05-19,23.42%
2024-05-20,20.43%
2024-05-21,16.25%
2024-05-22,8.97%
2024-05-23,7.72%
2024-05-24,17.35%
2024-05-25,18.83%
2024-05-26,6.43%
2024-05-27,34.49%
2024-05-28,12.42%
2024-05-29,25.29%
2024-05-30,11.62%
2024-05-31,24.21%
2024-06-01,6.82%
2024-06-02,21.95%
2024-06-03,14.37%
2024-06-04,13.21%
2024-06-05,24.84%
2024-06-06,17.59%
2024-06-07,29.17%
2024-06-08,22.88%
2024-06-09,20.40%
2024-06-10,34.48%
2024-06-11,13.70%
2024-06-12,11.07%
2024-06-13,28.26%
2024-06-14,17.49%
2024-06-15,27.66%
2024-06-16,11.43%
2024-06-17,7.92%
2024-06-18,14.54%
2024-06-19,9.50%
2024-06-20,25.73%
2024-06-21,14.69%
2024-06-22,15.64%
2024-06-23,9.25%
2024-06-24,18.94%
2024-06-25,9.45%
2024-06-26,6.59%
2024-06-27,15.15%
2024-06-28,14.34%
2024-06-29,9.48%
2024-06-30,13.30%
2024-07-01,22.29%
2024-07-02,20.76%
2024-07-03,19.92%
2024-07-04,14.53%
2024-07-05,10.69%
2024-07-06,7.88%
2024-07-07,13.22%
2024-07-08,19.41%
2024-07-09,27.96%
2024-07-10,12.37%
2024-07-11,18.18%
2024-07-12,11.02%
2024-07-13,20.14%
2024-07-14,4.91%
2024-07-15,12.31%
2024-07-16,11.14%
2024-07-17,14.91%
2024-07-18,12.45%
2024-07-19,18.12%
2024-07-20,9.62%
2024-07-21,8.51%
2024-07-22,13.69%
2024-07-23,23.02%
2024-07-24,13.56%
2024-07-25,6.12%
2024-07-26,3.79%
2024-07-27,15.30%
2024-07-28,11.38%
2024-07-29,10.09%
2024-07-30,14.70%
2024-07-31,37.73%
2024-08-01,21.53%
2024-08-02,13.83%
2024-08-03,10.57%
2024-08-04,7.03%
2024-08-05,6.56%
2024-08-06,8.79%
2024-08-07,40.40%
2024-08-08,18.00%
2024-08-09,16.22%
2024-08-10,20.16%
2024-08-11,7.58%
2024-08-12,27.23%
2024-08-13,26.47%
2024-08-14,19.41%
2024-08-15,17.81%
2024-08-16,12.60%
2024-08-17,15.22%
2024-08-18,28.90%
2024-08-19,47.73%
2024-08-20,15.37%
2024-08-21,11.62%
2024-08-22,11.52%
2024-08-23,9.47%
2024-08-24,6.64%
2024-08-25,12.46%
