Card1;Card2;Rule
abundance;mandarin;If you gain a Mandarin and have played Abundance before that, you put it on top of your deck, but the duration effect still persists.
alchemist;journey;If you play Alchemists and Potion and buy Journey, you may topdeck the Alchemists for the Journey turn.
alchemist;reckless;If Alchemist is Reckless, you may topdeck if you have a Potion in play, circumventing Reckless' return-to-pile prompt.
amphora;mandarin;If you gain a Mandarin and have played Amphora before that, you put it on top of your deck, but the duration effect still persists.
amphora;panic;When you discard Amphora from play while Panic is active, you return it to the top of the Loot pile. When discarding multiple, you get to choose the order.
approaching_army;harbor_village;Even if Approaching Army is active, Harbor Village does not give you +$1 when you play an Attack (that doesn't give +$) after it, since it's Approaching Army providing the +$1, not the Attack card itself.
architects_guild;destrier;Destrier's cost will be evaluated after each gain, so if you gain a Destrier costing $6, you may gain a card cheaper than $5 afterwards using Architect's Guild. On the other hand, you may gain an initially $6-costing Destrier off of a Gold gain using Architect's Guild.
architects_guild;fisherman;Fisherman's cost will be evaluated after each gain, so if you e.g. gain a Fisherman for $2, you may use two Favors to gain a card costing less than $5 (as long as the Fisherman is in the Discard Pile). On the other hand, you normally cannot gain a Fisherman for $2 off of a $5 cost gain using Architect's Guild.
arena;trail;You may still discard a card like Trail for Arena even if there are no more VP tokens available. Be aware that there might be an Autoplay in the online clients skipping over this step that you'll have to turn off.
arena;village_green;You may still discard a card like Village Green for Arena even if there are no more VP tokens available. Be aware that there might be an Autoplay in the online clients skipping over this step that you'll have to turn off.
arena;weaver;You may still discard a card like Weaver for Arena even if there are no more VP tokens available. Be aware that there might be an Autoplay in the online clients skipping over this step that you'll have to turn off.
armory;city-state;When you gain a card using Armory and immediately play it using City-State, you will not be able to topdeck it.
armory;den_of_sin;If you gain a Den of Sin using Armory, it is topdecked instead of being gained to your hand.
armory;ghost_town;If you gain a Ghost Town using Armory, it is topdecked instead of being gained to your hand.
armory;guardian;If you gain a Guardian using Armory, it is topdecked instead of being gained to your hand.
armory;innovation;When you gain a card using Armory and immediately play it using Innovation, you will not be able to topdeck it.
armory;night_watchman;If you gain a Night Watchman using Armory, it is topdecked instead of being gained to your hand.
armory;rush;When you gain a card using Armory and immediately play it using Rush, you will not be able to topdeck it.
armory;siren;If you gain a Siren and topdeck it using Armory, you still need to trash an Action card from your hand in order to not trash the Siren.
armory;villa;If you gain a Villa using Armory, it is topdecked and then you put it into your hand hand.
artisan;gatekeeper;If you gain a card and put it in your hand using Artisan while under the Gatekeeper attack, you still need to Exile it if you don't have a copy of it in Exile.
artisan;sheepdog;If you gain a Sheepdog to your hand using Artisan, you can immediately react to its own gain and play it.
artisan;siren;If you gain a Siren and put it in your hand using Artisan, you still need to trash an Action from your hand in order to not trash the Siren.
astrolabe;mandarin;If you gain a Mandarin and have played Astrolabe before that, you put it on top of your deck, but the duration effect still persists.
bad_omens;patron;If you reveal the cards in your discard pile since you don't have any Coppers, you will get +1 Coffers for each Patron in there as long as it's during an Action phase.
ball;harbor_village;If you play a card giving only +$1 and use that to remove the -Coin token after playing Harbor Village, you don't get +$1 from Harbor Village as the card didn't produce any $.
